id,type,text1,text2,text3,text4,text5,notes
InReC_pulse_drone_w,SHIP,"A simple drone that is little more than an engine and a Pulse Bolter, this lightweight variant has had all but the most essential protection removed.",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
InReC_pulse,WEAPON,"A standard burst fire energy bolt weapon, mostly unremarkable but with the saving grace of an efficient flux profile.",,,,,
InReC_pulse_hvy,WEAPON,"A heavier mount of a rather standard burst fire energy bolt weapon, mostly unremarkable but with the saving grace of an efficient flux profile.",,,,,
InReC_flash_lt,WEAPON,Fires a burst of volatile energy bolts that scatter over a wide area.,,,,,
InReC_flash,WEAPON,Fires a large burst of volatile energy bolts that scatter and saturate a wide area.,,,,,
InReC_spark,WEAPON,"Burst fire missile defense weapon, with highly respectable range and projectile velocity.",,,,,
InReC_spark_hvy,WEAPON,"An upsized burst fire missile defense weapon, a rapid cycle rate compensates for the somehat anemic low density energy bolts it fires.",,,,,
InReC_fusion,WEAPON,Projects a ragged spread of high temprature energy bolts that are highly effective at wearing down armour.,,,,,
InReC_gluon,WEAPON,"Fires a large burst of swarming energy bolts, offering somewhat inaccurate long range fire support at a flux premium.",,,,,
InReC_disruption,WEAPON,A medium range ion weapon that delivers a temporary buildup of arcing disruptive energy that proves highly effective at disabling enemy systems and engines.,,,,,
InReC_negatron,WEAPON,Delivers bursts of highly destructive charged energy bolts. While somewhat flux hungry it performs quite effectively against both shields and armour.,,,,,
InReC_hadron,WEAPON,"Long ranged and respectably flux efficient, this weapon offers a modest amount of firepower best suited to ships keeping to a restricted flux budget.",,,,,
InReC_quark,WEAPON,"Fires bursts of high powered bolts that embed Quark Charges into their targets, the resonant nature of the charges means that it is best used en-masse or alongside other weapons that can deliver charges.

The resonant nature of Quark Charges leads to an inherent synergy across the various weapons that deliver and manipulate them, and mounting them in volume across a fleet can easily multiply their destructive potential.",,,,,
InReC_burst,WEAPON,"A low output pulse weapon, it sacrifices damage output in order to emphasise mount flexibility and ease of installation.",,,,,
,,,,,,,
InReC_hangnail,WEAPON,"High velocity explosive shells that embed a Quark Charge into the target, the internal magazine grants it the ability to deliver devastating bursts of damage that can tear through armoured targets.

The resonant nature of Quark Charges leads to an inherent synergy across the various weapons that deliver and manipulate them, and mounting them in volume across a fleet can easily multiply their destructive potential.",,,,,
InReC_millstone,WEAPON,"A simple and reliable two barreled cannon. While the mid-caliber fragmentation shells are somewhat lacking in damage output, the weapon has an easily manageable flux profile.",,,,,
InReC_millstone_tri,WEAPON,"A simple and reliable three barreled cannon. While the mid-caliber fragmentation shells are somewhat lacking in damage output, the weapon has an easily manageable flux profile.",,,,,
InReC_fusor,WEAPON,"Two light railguns fused into a single weapons system, efficient and consistent, but surpassed in raw firepower by various other weapons.",,,,,
InReC_fusor_linked,WEAPON,"A pair of fused railguns, just like the smaller model remains efficient, but retains the comparative lack of damage output.",,,,,
InReC_canister,WEAPON,"A snub barreled cannon that fires canisters of high-density flechettes, able to overwhelm shield projectors in an instant, but has a rather short effective range.",,,,,
InReC_guillotine,WEAPON,"A heavy cannon that loads advanced siege shells with incredible reach and power, able to provide punishing fire support at range.",,,,,
InReC_stigmata,WEAPON,"A triplicate mounting of relativistic accelerators, offering solid overall performance that is only held back by rapid projectile destabilisation.",,,,,
InReC_headstone,WEAPON,"High caliber mortar that alongside a powerful explosive payload has the ability to agitate Quark Charges into early detonation.

The resonant nature of Quark Charges leads to an inherent synergy across the various weapons that deliver and manipulate them, and mounting them in volume across a fleet can easily multiply their destructive potential.",,,,,
,,,,,,,
InReC_flock,WEAPON,A basic lightweight missile. While lacking in speed and payload it has a respectable long-burn engine and integrates an autoloader allowing for sustained support fire.,,,,,
InReC_flock_pod,WEAPON,A pod of basic lightweight missiles. While lacking in speed and payload it has a respectable long-burn engine and integrates an autoloader allowing for sustained support fire.,,,,,
InReC_pesticide,WEAPON,"A launcher for cheap lightweight missiles, while lacking in payload the presence of an autoloader system means that they can be adequate at suppressing point defense if nothing else.",,,,,
InReC_pesticide_pod,WEAPON,"A twin tube launcher for cheap lightweight missiles, while lacking in payload the presence of an autoloader system means that they can be adequate at suppressing point defense if nothing else.",,,,,
InReC_fumigator,WEAPON,An armoured missile that is unusual in that rather than directly dealing damage it saturates hostile point defenses by launching a massed volume of flares.,,,,,
InReC_defoliant,WEAPON,"An armoured chassis propelled by a powerful single-stage solid fuel engine. While the engine gives it the velocity to deal significant damage to shielding, maneuverability unfortunately suffers in exchange.",,,,,
InReC_heart-throb,WEAPON,"A launch rail system for lightweight drones. While the drones are very fragile and rather lightly armed, they can pose a suprisingly significant threat to targets that lack adequate point defense.",,,,,
InReC_beekeeper,WEAPON,A Blister micromissile carrier that deploys a barrage of munitions on nearing its target. This blisters submunitions are loaded with a kinetic payload making it effective against shielding but lackluster otherwise.,,,,,
InReC_beekeeper_pod,WEAPON,A pod of Blister micromissile carriers that each deploy a barrage of munitions on nearing their target. These blisters submunitions are loaded with a kinetic payload making them effective against shielding but lackluster otherwise.,,,,,
InReC_apiarist,WEAPON,A Blister micromissile carrier that deploys a barrage of munitions on nearing its target. This blisters submunitions are loaded with a light shaped charge payload allowing them to tear through large volumes of armour with ease.,,,,,
InReC_apiarist_pod,WEAPON,A pod of Blister micromissile carriers that each deploy a barrage of munitions on nearing their target. These blisters submunitions are loaded with a light shaped charge payload allowing them to tear through large volumes of armour with ease.,,,,,
InReC_herbicide,WEAPON,"A launcher for high-yield armoured missiles, an effective anti-armour strike package with a respectable ammunition reserve.",,,,,
InReC_wishbone,WEAPON,"Multi-stage long range missiles that release four anti-armour seekers on nearing a target, the ability to deliver Quark Charges at long range proves a valuable asset in fleet support.

The resonant nature of Quark Charges leads to an inherent synergy across the various weapons that deliver and manipulate them, and mounting them in volume across a fleet can easily multiply their destructive potential.",,,,,
,,,,,,,
InReC_pulse_drn,WEAPON,"A standard burst fire energy bolt weapon, mostly unremarkable but with the saving grace of an efficient flux profile. This variant is mounted on an expendable drone powered by a limited capacitor, and as such has a limited number of shots it can fire.",,,,,
InReC_pulse_drn_2,WEAPON,"A standard burst fire energy bolt weapon, mostly unremarkable but with the saving grace of an efficient flux profile. This variant is mounted on a drone without a full-sized power core, and as such has a limited number of shots it can fire.",,,,,
InReC_fusion_drn,WEAPON,"Projects a ragged spread of high temprature energy bolts that are highly effective at wearing down armour. This variant is mounted on a drone without a full-sized power core, and as such has a limited number of shots it can fire.",,,,,
InReC_gluon_drn,WEAPON,"Fires a large burst of swarming energy bolts, offering somewhat inaccurate long range fire support at a flux premium. This variant is mounted on a drone without a full-sized power core, and as such has a limited number of shots it can fire.",,,,,
InReC_flash_lt_drn,WEAPON,Fires a burst of volatile energy bolts that scatter over a wide area. This fighter mounted variant has a longer refire delay.,,,,,
InReC_millstone_drn,WEAPON,"A simple and reliable cannon. While the mid-caliber fragmentation shells are somewhat lacking in damage output, it has very respectable range for a fighter mounted weapon.",,,,,
InReC_flock_drn,WEAPON,A basic lightweight missile. While lacking in speed and payload it has a respectable long-burn engine and integrates an autoloader allowing for sustained support fire.,,,,,
InReC_pesticide_ftr,WEAPON,"A launcher for cheap lightweight missiles, while lacking in payload the presence of an autoloader system means that they can be adequate at suppressing point defense if nothing else.",,,,,
InReC_fungicide_array,WEAPON,Integrated autoloading launch array loaded with advanced high velocity kinetic micromissiles.,,,,,
InReC_fungicide_array_2,WEAPON,Integrated autoloading launch array loaded with advanced high velocity kinetic micromissiles.,,,,,
InReC_conc_bolter,WEAPON,"Integrated directly into the Empachos Concussion Vanes, this weapon delivers a concussive blast into targets that interferes with delicate machinery and stuns crews, while largely ineffective at dealing damage it is able to reduce the combat effectiveness of a target.",,,,,
InReC_tantrum,WEAPON,"Feeding directly from the core of the Estrondo, this weapon combines flux management with direct offensive power.",,,,,
InReC_sundown,WEAPON,"Launch system for a heavy Blister micromissile carrier, the balanced but somewhat underwhelming performance of the submunitions allows them to act as a respectable complement to almost any weapons loadout, but lack the punch to act as an independent standout weapon.",,,,,
,,,,,,,
,,,,,,,
InReC_cluster_flak,SHIP_SYSTEM,Fires a large number of flak canisters with variable-timed proximity fuses all around the ship.,Defensive,Fires a large number of flak canisters with variable-timed proximity fuses all around the ship. Each canister deals 150 Fragmentation damage in an area and is targeted to avoid friendly fire.,150 Fragmentation,Each canister deals {{150 Fragmentation}} damage in an area and is targeted to avoid friendly fire.,
InReC_jets,SHIP_SYSTEM,Engages extra thrusters to improve the ship's maneuverability. Also provides a moderate boost to the ship's top speed.,Movement,Provides a brief boost to maneuverability and top speed.,,The ship's top speed is increased by {{60}}.,
InReC_damper,SHIP_SYSTEM,"Briefly activates an energy field and a concussive pulse generator, that mitigates incoming damage and repels nearby missiles at the cost of disabling weapons and shields.",Defensive,"Briefly activates an energy field and a pulse generator, that mitigates incoming damage and repels nearby missiles at the cost of disabling weapons and shields.",,Reduces all damage taken by {{67%}}.,
InReC_greg,SHIP_SYSTEM,Deploys an independent Lacayo attack drone that will autonomously engage hostile targets.,Drone,Deploys an independent Lacayo attack drone that will autonomously engage hostile targets.,,"By default a Lacayo drone has {{600 Hull}}, {{150 Armor}} and is armed with a {{Spark Bolter}}.",
InReC_jam_flares,SHIP_SYSTEM,Launches flares that interfere with point-defenses.,Defensive,Launches flares that interfere with point-defenses.,,,
InReC_BurstDrive,SHIP_SYSTEM,Disables weapons for a moment to engage a burst of rapid acceleration and increased top speed.,Movement,Disables weapons for a moment to  engage a burst of rapid acceleration and increased top speed.,,"The ship's top speed is increased by  up to {{200}}. The ship also receives a significant boost to its turn and acceleration rates.

Reduces all damage taken by {{15%}}.

Time passes at up to {{60 percent}} faster than normal on board the ship.

Energy weapons recieve a significant boost to their reload speed during the boost, cutting around {{Three seconds}} from their reload time.",
InReC_MicroBurstDrive,SHIP_SYSTEM,Disables weapons for a moment to engage a short burst of rapid acceleration and increased top speed. The system stores multiple regenerating charges.,Movement,Disables weapons for a moment to engage a short burst of rapid acceleration and increased top speed. The system stores multiple regenerating charges.,,"The ship's top speed is increased by  up to {{200}}. The ship also receives a significant boost to its turn and acceleration rates.

Reduces all damage taken by {{15%}}.

Time passes at up to {{60 percent}} faster than normal on board the ship.

Energy weapons recieve a significant boost to their reload speed during the boost, cutting around {{Four seconds}} from their reload time.",
InReC_concFocus,SHIP_SYSTEM,"Briefly increases the damage dealt by all energy weapons and activates a concussive pulse generator that repels nearby missiles. The capacitor array stores multiple charges, which are slowly regenerated.",Offensive,Briefly increases the damage dealt by all energy weapons and activates a concussive pulse generator that repels nearby missiles.,,The damage dealt by all energy weapons is increased by {{30%}}.,
